ProductID,SupplierID,WarehouseID,SnapshotDate,StockLevel,ReorderPoint,ProductName,Category,SupplierName,Region,AvgLeadTimeDays,StockRisk
1,1,1,2024-01-31,186,68,Product_1,Home,AlphaSupplies,North,18,0
1,1,1,2024-10-31,150,65,Product_1,Home,AlphaSupplies,North,18,0
1,1,2,2024-03-31,238,125,Product_1,Home,AlphaSupplies,North,18,0
1,1,2,2024-06-30,167,91,Product_1,Home,AlphaSupplies,North,18,0
1,1,2,2024-11-30,144,120,Product_1,Home,AlphaSupplies,North,18,0
1,1,3,2024-07-31,382,88,Product_1,Home,AlphaSupplies,North,18,0
1,1,3,2024-10-31,368,74,Product_1,Home,AlphaSupplies,North,18,0
2,1,1,2024-04-30,146,69,Product_2,Toys,AlphaSupplies,North,18,0
2,1,1,2024-05-31,401,96,Product_2,Toys,AlphaSupplies,North,18,0
2,1,1,2024-06-30,304,63,Product_2,Toys,AlphaSupplies,North,18,0
2,1,1,2024-08-31,143,136,Product_2,Toys,AlphaSupplies,North,18,0
2,1,2,2024-04-30,191,76,Product_2,Toys,AlphaSupplies,North,18,0
2,1,2,2024-10-31,255,118,Product_2,Toys,AlphaSupplies,North,18,0
2,1,2,2024-12-31,250,54,Product_2,Toys,AlphaSupplies,North,18,0
2,1,3,2024-03-31,340,75,Product_2,Toys,AlphaSupplies,North,18,0
2,1,3,2024-05-31,176,126,Product_2,Toys,AlphaSupplies,North,18,0
2,1,3,2024-06-30,97,148,Product_2,Toys,AlphaSupplies,North,18,1
2,1,3,2024-12-31,144,134,Product_2,Toys,AlphaSupplies,North,18,0
3,1,1,2024-03-31,445,114,Product_3,Clothing,AlphaSupplies,North,18,0
3,1,2,2024-04-30,307,87,Product_3,Clothing,AlphaSupplies,North,18,0
3,1,2,2024-06-30,29,100,Product_3,Clothing,AlphaSupplies,North,18,1
3,1,2,2024-08-31,137,105,Product_3,Clothing,AlphaSupplies,North,18,0
3,1,3,2024-04-30,359,53,Product_3,Clothing,AlphaSupplies,North,18,0
3,1,3,2024-10-31,21,70,Product_3,Clothing,AlphaSupplies,North,18,1
3,1,3,2024-12-31,45,83,Product_3,Clothing,AlphaSupplies,North,18,1
4,1,1,2024-03-31,248,96,Product_4,Toys,AlphaSupplies,North,18,0
4,1,1,2024-07-31,256,57,Product_4,Toys,AlphaSupplies,North,18,0
4,1,2,2024-03-31,14,113,Product_4,Toys,AlphaSupplies,North,18,1
4,1,2,2024-05-31,38,106,Product_4,Toys,AlphaSupplies,North,18,1
4,1,2,2024-07-31,125,93,Product_4,Toys,AlphaSupplies,North,18,0
4,1,2,2024-12-31,110,57,Product_4,Toys,AlphaSupplies,North,18,0
4,1,3,2024-08-31,349,124,Product_4,Toys,AlphaSupplies,North,18,0
5,1,1,2024-01-31,3,128,Product_5,Toys,AlphaSupplies,North,18,1
5,1,1,2024-02-29,93,100,Product_5,Toys,AlphaSupplies,North,18,1
5,1,1,2024-07-31,274,133,Product_5,Toys,AlphaSupplies,North,18,0
5,1,1,2024-08-31,19,61,Product_5,Toys,AlphaSupplies,North,18,1
5,1,1,2024-11-30,332,52,Product_5,Toys,AlphaSupplies,North,18,0
5,1,2,2024-05-31,328,66,Product_5,Toys,AlphaSupplies,North,18,0
5,1,2,2024-07-31,93,144,Product_5,Toys,AlphaSupplies,North,18,1
5,1,2,2024-10-31,375,124,Product_5,Toys,AlphaSupplies,North,18,0
5,1,3,2024-06-30,61,53,Product_5,Toys,AlphaSupplies,North,18,0
5,1,3,2024-07-31,236,91,Product_5,Toys,AlphaSupplies,North,18,0
5,1,3,2024-09-30,124,87,Product_5,Toys,AlphaSupplies,North,18,0
5,1,3,2024-10-31,22,112,Product_5,Toys,AlphaSupplies,North,18,1
5,1,3,2024-11-30,152,66,Product_5,Toys,AlphaSupplies,North,18,0
6,1,1,2024-06-30,419,78,Product_6,Groceries,AlphaSupplies,North,18,0
6,1,1,2024-07-31,96,76,Product_6,Groceries,AlphaSupplies,North,18,0
6,1,3,2024-05-31,461,89,Product_6,Groceries,AlphaSupplies,North,18,0
6,1,3,2024-06-30,213,60,Product_6,Groceries,AlphaSupplies,North,18,0
6,1,3,2024-08-31,109,85,Product_6,Groceries,AlphaSupplies,North,18,0
7,1,1,2024-01-31,312,75,Product_7,Clothing,AlphaSupplies,North,18,0
7,1,1,2024-07-31,363,100,Product_7,Clothing,AlphaSupplies,North,18,0
7,1,1,2024-09-30,343,82,Product_7,Clothing,AlphaSupplies,North,18,0
7,1,1,2024-12-31,369,134,Product_7,Clothing,AlphaSupplies,North,18,0
7,1,2,2024-04-30,62,110,Product_7,Clothing,AlphaSupplies,North,18,1
7,1,3,2024-02-29,318,53,Product_7,Clothing,AlphaSupplies,North,18,0
7,1,3,2024-08-31,7,114,Product_7,Clothing,AlphaSupplies,North,18,1
7,1,3,2024-10-31,254,121,Product_7,Clothing,AlphaSupplies,North,18,0
8,1,1,2024-05-31,6,123,Product_8,Clothing,AlphaSupplies,North,18,1
8,1,2,2024-01-31,421,143,Product_8,Clothing,AlphaSupplies,North,18,0
8,1,2,2024-05-31,157,108,Product_8,Clothing,AlphaSupplies,North,18,0
8,1,2,2024-06-30,369,130,Product_8,Clothing,AlphaSupplies,North,18,0
8,1,3,2024-03-31,16,86,Product_8,Clothing,AlphaSupplies,North,18,1
9,1,1,2024-09-30,364,147,Product_9,Clothing,AlphaSupplies,North,18,0
9,1,1,2024-11-30,72,122,Product_9,Clothing,AlphaSupplies,North,18,1
9,1,2,2024-01-31,426,91,Product_9,Clothing,AlphaSupplies,North,18,0
9,1,2,2024-06-30,304,110,Product_9,Clothing,AlphaSupplies,North,18,0
9,1,2,2024-07-31,329,106,Product_9,Clothing,AlphaSupplies,North,18,0
9,1,2,2024-11-30,373,129,Product_9,Clothing,AlphaSupplies,North,18,0
9,1,3,2024-03-31,15,120,Product_9,Clothing,AlphaSupplies,North,18,1
10,1,1,2024-04-30,38,64,Product_10,Toys,AlphaSupplies,North,18,1
10,1,1,2024-05-31,3,142,Product_10,Toys,AlphaSupplies,North,18,1
10,1,1,2024-06-30,396,131,Product_10,Toys,AlphaSupplies,North,18,0
10,1,2,2024-01-31,28,111,Product_10,Toys,AlphaSupplies,North,18,1
10,1,2,2024-04-30,238,59,Product_10,Toys,AlphaSupplies,North,18,0
10,1,2,2024-06-30,64,143,Product_10,Toys,AlphaSupplies,North,18,1
10,1,2,2024-09-30,152,97,Product_10,Toys,AlphaSupplies,North,18,0
10,1,2,2024-10-31,436,128,Product_10,Toys,AlphaSupplies,North,18,0
10,1,2,2024-11-30,398,98,Product_10,Toys,AlphaSupplies,North,18,0
10,1,3,2024-11-30,260,103,Product_10,Toys,AlphaSupplies,North,18,0
11,1,1,2024-03-31,337,111,Product_11,Home,AlphaSupplies,North,18,0
11,1,1,2024-06-30,494,138,Product_11,Home,AlphaSupplies,North,18,0
11,1,1,2024-08-31,97,60,Product_11,Home,AlphaSupplies,North,18,0
11,1,1,2024-10-31,475,78,Product_11,Home,AlphaSupplies,North,18,0
11,1,1,2024-12-31,331,91,Product_11,Home,AlphaSupplies,North,18,0
11,1,2,2024-01-31,462,89,Product_11,Home,AlphaSupplies,North,18,0
11,1,3,2024-06-30,362,94,Product_11,Home,AlphaSupplies,North,18,0
11,1,3,2024-10-31,44,107,Product_11,Home,AlphaSupplies,North,18,1
12,1,3,2024-02-29,284,53,Product_12,Clothing,AlphaSupplies,North,18,0
12,1,3,2024-03-31,98,62,Product_12,Clothing,AlphaSupplies,North,18,0
13,1,1,2024-03-31,444,84,Product_13,Toys,AlphaSupplies,North,18,0
13,1,1,2024-07-31,429,138,Product_13,Toys,AlphaSupplies,North,18,0
13,1,2,2024-01-31,386,69,Product_13,Toys,AlphaSupplies,North,18,0
13,1,2,2024-02-29,221,127,Product_13,Toys,AlphaSupplies,North,18,0
13,1,2,2024-04-30,8,87,Product_13,Toys,AlphaSupplies,North,18,1
13,1,2,2024-07-31,63,126,Product_13,Toys,AlphaSupplies,North,18,1
13,1,2,2024-11-30,300,138,Product_13,Toys,AlphaSupplies,North,18,0
13,1,3,2024-01-31,213,100,Product_13,Toys,AlphaSupplies,North,18,0
13,1,3,2024-02-29,400,125,Product_13,Toys,AlphaSupplies,North,18,0
13,1,3,2024-06-30,352,51,Product_13,Toys,AlphaSupplies,North,18,0
13,1,3,2024-07-31,288,126,Product_13,Toys,AlphaSupplies,North,18,0
13,1,3,2024-11-30,105,93,Product_13,Toys,AlphaSupplies,North,18,0
14,1,1,2024-01-31,450,55,Product_14,Groceries,AlphaSupplies,North,18,0
14,1,1,2024-02-29,261,122,Product_14,Groceries,AlphaSupplies,North,18,0
14,1,1,2024-08-31,382,52,Product_14,Groceries,AlphaSupplies,North,18,0
14,1,2,2024-05-31,351,105,Product_14,Groceries,AlphaSupplies,North,18,0
14,1,2,2024-08-31,92,103,Product_14,Groceries,AlphaSupplies,North,18,1
14,1,2,2024-09-30,390,125,Product_14,Groceries,AlphaSupplies,North,18,0
14,1,3,2024-02-29,151,99,Product_14,Groceries,AlphaSupplies,North,18,0
14,1,3,2024-03-31,434,145,Product_14,Groceries,AlphaSupplies,North,18,0
15,1,1,2024-04-30,380,63,Product_15,Home,AlphaSupplies,North,18,0
15,1,1,2024-05-31,83,51,Product_15,Home,AlphaSupplies,North,18,0
15,1,1,2024-06-30,378,138,Product_15,Home,AlphaSupplies,North,18,0
15,1,1,2024-08-31,228,54,Product_15,Home,AlphaSupplies,North,18,0
15,1,2,2024-03-31,459,50,Product_15,Home,AlphaSupplies,North,18,0
15,1,2,2024-06-30,203,86,Product_15,Home,AlphaSupplies,North,18,0
15,1,2,2024-12-31,281,78,Product_15,Home,AlphaSupplies,North,18,0
15,1,3,2024-06-30,298,147,Product_15,Home,AlphaSupplies,North,18,0
15,1,3,2024-07-31,305,78,Product_15,Home,AlphaSupplies,North,18,0
